name,dtype,non_null,missing,missing_share,unique,is_numeric,min,max,mean,std
user_id,int64,36,0,0.0,35,True,1001.0,1035.0,1018.1944444444445,10.166666666666666
country,object,36,0,0.0,4,False,,,,
city,object,34,2,0.05555555555555555,16,False,,,,
device,object,36,0,0.0,3,False,,,,
channel,object,36,0,0.0,4,False,,,,
sessions_last_30d,int64,36,0,0.0,26,True,0.0,34.0,11.944444444444445,8.608781046763305
avg_session_duration_min,float64,34,2,0.05555555555555555,32,True,2.0,15.2,7.247058823529413,3.473382361148563
pages_per_session,float64,36,0,0.0,32,True,1.0,7.5,4.099999999999999,1.5605859705343283
purchases_last_30d,int64,36,0,0.0,5,True,0.0,4.0,1.1388888888888888,1.1251102238772057
revenue_last_30d,float64,36,0,0.0,23,True,0.0,7000.0,1575.013888888889,1815.2805784156387
churned,int64,36,0,0.0,2,True,0.0,1.0,0.3333333333333333,0.47809144373375745
signup_year,int64,36,0,0.0,7,True,2018.0,2024.0,2020.9722222222222,1.5210167860651849
plan,object,36,0,0.0,3,False,,,,
n_support_tickets,int64,36,0,0.0,6,True,0.0,5.0,1.0833333333333333,1.2041594578792296
