sample_id,cluster_label
0,0
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,1
9,0
10,0
11,1
12,1
13,1
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,1
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,0
83,1
84,0
85,1
86,0
87,0
88,1
89,1
90,1
91,0
92,1
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,1
144,1
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,1
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,1
166,1
167,1
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,0
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,1
219,1
220,0
221,0
222,1
223,0
224,0
225,0
226,0
227,0
228,1
229,0
230,1
231,0
232,1
233,1
234,0
235,0
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,1
255,0
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,0
274,1
275,1
276,1
277,0
278,1
279,1
280,1
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,1
289,0
290,1
291,0
292,1
293,0
294,1
295,1
296,0
297,0
298,0
299,0
300,1
301,1
302,1
303,0
304,0
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,1
315,0
316,1
317,1
318,1
319,0
320,0
321,1
322,0
323,1
324,1
325,0
326,0
327,1
328,0
329,1
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,1
338,0
339,0
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,0
355,1
356,0
357,1
358,1
359,0
360,1
361,0
362,0
363,1
364,1
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,0
413,1
414,1
415,1
416,0
417,0
418,0
419,1
420,1
421,1
422,0
423,0
424,1
425,0
426,1
427,1
428,0
429,0
430,0
431,1
432,0
433,1
434,0
435,1
436,1
437,0
438,0
439,0
440,0
441,1
442,1
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,1
455,0
456,1
457,0
458,0
459,0
460,0
461,1
462,0
463,0
464,0
465,0
466,1
467,1
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,1
481,0
482,0
483,1
484,0
485,0
486,1
487,1
488,0
489,1
490,1
491,0
492,0
493,1
494,0
495,0
496,1
497,0
498,1
499,1
500,0
501,1
502,1
503,1
504,1
505,1
506,0
507,0
508,0
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,0
517,0
518,1
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,0
534,0
535,0
536,1
537,0
538,0
539,1
540,0
541,1
542,0
543,0
544,1
545,0
546,1
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,1
555,1
556,1
557,0
558,0
559,0
560,1
561,1
562,1
563,0
564,0
565,1
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,0
574,1
575,1
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,1
586,1
587,1
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,0
606,1
607,0
608,1
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,1
619,1
620,1
621,0
622,1
623,0
624,1
625,0
626,1
627,1
628,0
629,1
630,0
631,0
632,0
633,1
634,1
635,0
636,1
637,1
638,1
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,1
652,0
653,0
654,1
655,0
656,1
657,1
658,0
659,0
660,1
661,0
662,1
663,1
664,0
665,0
666,0
667,1
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,1
676,1
677,1
678,1
679,1
680,0
681,1
682,0
683,1
684,0
685,0
686,0
687,0
688,1
689,1
690,1
691,0
692,0
693,1
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,1
725,0
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,0
734,1
735,1
736,1
737,1
738,1
739,1
740,0
741,0
742,0
743,0
744,0
745,1
746,1
747,0
748,0
749,1
750,1
751,0
752,1
753,0
754,1
755,0
756,0
757,1
758,1
759,1
760,1
761,1
762,0
763,0
764,1
765,0
766,1
767,1
768,0
769,0
770,0
771,0
772,0
773,1
774,1
775,0
776,1
777,1
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,1
786,0
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,1
803,1
804,1
805,1
806,1
807,0
808,1
809,1
810,1
811,1
812,0
813,0
814,0
815,1
816,0
817,0
818,0
819,0
820,1
821,1
822,1
823,0
824,0
825,1
826,1
827,0
828,0
829,0
830,1
831,0
832,0
833,0
834,1
835,0
836,0
837,1
838,0
839,0
840,1
841,1
842,0
843,1
844,0
845,1
846,0
847,1
848,1
849,1
850,0
851,0
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,0
862,0
863,0
864,1
865,0
866,1
867,0
868,0
869,1
870,0
871,0
872,1
873,1
874,0
875,1
876,0
877,1
878,0
879,0
880,1
881,0
882,0
883,0
884,1
885,1
886,0
887,1
888,0
889,0
890,1
891,1
892,0
893,1
894,0
895,1
896,0
897,0
898,1
899,1
900,1
901,0
902,1
903,0
904,1
905,1
906,1
907,1
908,0
909,1
910,1
911,1
912,0
913,0
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,0
922,1
923,0
924,0
925,1
926,1
927,0
928,1
929,0
930,0
931,1
932,0
933,1
934,0
935,1
936,1
937,0
938,0
939,0
940,1
941,1
942,1
943,0
944,0
945,0
946,0
947,1
948,1
949,0
950,1
951,0
952,1
953,0
954,0
955,0
956,1
957,0
958,0
959,0
960,1
961,0
962,0
963,0
964,1
965,0
966,0
967,1
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,1
977,1
978,0
979,1
980,1
981,1
982,0
983,1
984,0
985,0
986,1
987,0
988,1
989,0
990,0
991,0
992,1
993,1
994,0
995,1
996,1
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,0
1004,1
1005,0
1006,0
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,0
1019,1
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,1
1027,0
1028,1
1029,0
1030,1
1031,1
1032,1
1033,1
1034,1
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,0
1044,1
1045,1
1046,0
1047,1
1048,0
1049,1
1050,1
1051,1
1052,0
1053,1
1054,0
1055,0
1056,0
1057,1
1058,1
1059,1
